ac_no,ac_name,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
24,Sriperumbudur,D. Rajarathinam,DMK,78811,"46,617",59.15,"32,194",40.85
25,Kadambathur,A Parandhaman,DMK,57471,"38,569",67.11,"18,902",32.89
26,Thiruvallur,S. M. Dorairaj,DMK,58105,"36,496",62.81,"21,609",37.19
27,Tiruttani,E. S. Thyagarajan,DMK,70376,"43,436",61.72,"26,940",38.28
28,Arakkonam,N. S. Balaraman,DMK,70298,"42,256",60.11,"28,042",39.89
29,Sholingur,A. M. Ponnuranga Mudaliar,INC,66395,"36,776",55.39,"29,619",44.61
30,Ranipet,K. A Wahab,Independent,67378,"36,357",53.96,"31,021",46.04
31,Arcot,N. Veerasami,DMK,67704,"39,126",57.79,"28,578",42.21
32,Katpadi,Durai Murugan,DMK,64868,"37,487",57.79,"27,381",42.21
33,Gudiyatham,Duraisami F. K.,DMK,61997,"34,954",56.38,"27,043",43.62
34,Pernambattu,N. Krishnan,DMK,60064,"35,804",59.61,"24,260",40.39
35,Natrampalli,T. C. Thimmaraya Gounder,DMK,60190,"33,303",55.33,"26,887",44.67
36,Tirupattur (Vellore),Ramasamy G.,DMK,66835,"37,120",55.54,"29,715",44.46
37,Vaniyambadi,M. Abdul Lathief,Independent,49704,"27,899",56.13,"21,805",43.87
38,Ambur,M. Panneerselvam,DMK,59701,"32,937",55.17,"26,764",44.83
39,Kaniyambadi,Thopputhiruvengadam,DMK,63639,"34,435",54.11,"29,204",45.89
40,Vellore,M. P. Sarathy,DMK,73733,"38,968",52.85,"34,765",47.15
41,Arani,A. C. Narasimhan,DMK,62284,"37,682",60.5,"24,602",39.5
42,Cheyyar,K. Govindan,DMK,71658,"39,978",55.79,"31,680",44.21
43,Vandavasi,V. Rajagopal,DMK,64921,"41,452",63.85,"23,469",36.15
44,Pernamallur,P. Ettiappan,DMK,60713,"39,160",64.5,"21,553",35.5
45,Polur,T. P. Srinivasan,DMK,59959,"34,728",57.92,"25,231",42.08
46,Chengam,C. Pandurangam,DMK,52549,"32,260",61.39,"20,289",38.61
47,Thandarambattu,M. S. Radhakrishnan,DMK,64589,"37,991",58.82,"26,598",41.18
